's Gravenbrakel	's  Gravenbrakel
Internationaal Strafhof	
Internet Explorer	
Ionische Eilanden	
Ionische Zee	Ionische Zeen
Isaac Newton	Isaak Newton
Italiaans Schiereiland	
Ivan Pavlov	
Ivan de Verschrikkelijke	Ivan Dij verschrikkelijke	Ivan De verschrikkelijke	Ivan Den verschrikkelijke
J.R.R. Tolkien	
Jack Kerouac	
Jacques-Yves Cousteau	
Jagernath Lachmon	
James Joyce	Jamais Joyce
James Watt	Jamais Watt
Jan Adriaenszoon Leeghwater	IJan Adriaenszoon Leeghwater
Jan Campert	
Jan Cremer	
Jan Harm	
Jan Peter Balkenende	Jan Petter Balkenende
Jan Pieterszoon Coen	IJan Pieterszoon Coen
Jan Steen	Jan Stenen	Jan Stee	Jan Steijn
Japanse Binnenzee	
Japanse Zee	Japanse Zeen
Jean Jacques Rousseau	Jenan Jacques Rousseau	Jijan Jacques Rousseau	Jaian Jacques Rousseau	IJean Jacques Rousseau	Ëan Jacques Rousseau
Jean-Luc Dehaene	Jean-Luk Dehaene
Jean-Paul Sartre	
Jeanne d'Arc	
Jeroen Bosch	
Jeroen Brouwers	
Jezus Christus	
Jip en Janneke	Jip e Janneke	Jip en Jannetje	IJp en Janneke	IJip en Janneke
Joeri Gagarin	
Johan Huizinga	
Johan van Oldenbarnevelt	Jeauhan van Oldenbarnevelt	IJohan van Oldenbarnevelt
Johann Sebastian Bach	Jeauhann Sebastian Bach	IJohann Sebastian Bach
Johannes Calvijn	Johannes Kalvijn	Johannes Calvijn
Johannes Gutenberg	
Johannes Paulus II	Johanness Paulus II	Johannens Paulus II	Johannijs Paulus II	Johannesch Paulus II	Johannais Paulus II	Jeauhannes Paulus II	IJohannes Paulus II
Johannes Vermeer	
Johannes de Doper	Johannesch De doper	Johannes Dij doper	Johannijs De doper	Johannes Den doper	Johannens De doper	Johanness De doper	Jeauhannes De doper	Johannais De doper	IJohannes De doper
John Cockerill	
John F. Kennedy	
John Lennon	
Joop den Uyl	Joop de Uyl	Jo-op den Uyl	Joop dijn Uyl	Joop den Uijl	Jeaup den Uyl	Joop deden Uyl	Jeauop den Uyl	Joeaup den Uyl	IJoop den Uyl
Joop van den Ende	Joop Van dijn ende	Joop Van den enden	Jo-op Van den ende	Joop Van den ede	Joop Van de ende	Joeaup Van den ende	Jeauop Van den ende	Joop Van deden ende	Jeaup Van den ende	IJoop Van den ende
Joost van den Vondel	Jo-ost Van den vondel	Joosth Van den vondel	Joost Van de vondel	Joeaust Van den vondel	Jeauost Van den vondel	Joost Van deden vondel	Jeaust Van den vondel	Jooscht Van den vondel	Joosd Van den vondel	Joost Van dijn vondel	IJoost Van den vondel	Joosst Van den vondel
Joseph Haydn	Josef Haydn
Joseph Heller	Josef Heller
Joseph Luns	Josef Luns	Joseph Loens
Jozef Stalin	
Judas Iskariot	
Judas Taddeüs	
Jules Verne	
Julische Alpen	
Julius Caesar	
Julius Civilis	
Kaap Glossa	
Kaap Hoorn	Kaaphoorn
Kaap Matapan	
Kaap Sideros	
Kaap Sint-Vincent	
Kaap Soenion	
Kaap Verdebekken	
Kaap de Goede Hoop	Kaap Dij goede hoop	Kaap Dde goede hoop	Kaap De goeden hoop	Kaap Den goede hoop	Ka-ap De goede hoop	Caap De goede hoop	Kaap Dede goede hoop	Kaap Dai goede hoop	Ccaap De goede hoop	Quaap De goede hoop
Kanaal van Bristol	Kana-al van Bristol	Kanaall van Bristol	Quanaal van Bristol	Ccanaal van Bristol	Canaal van Bristol
Kanaal van Malta	Kanaall Van malta	Kana-al Van malta	Canaal Van malta	Ccanaal Van malta	Quanaal Van malta	Kanaal van Maltha
Kanaal van Otranto	Kana-al van Otranto	Kanaall van Otranto	Quanaal van Otranto	Ccanaal van Otranto	Canaal van Otranto
Kanaal van Sicilië	Kana-al van Sicilië	Kanaall van Sicilië	Quanaal van Sicilië	Ccanaal van Sicilië	Canaal van Sicilië
Karel Appel	
Karel V	
Karel de Grote	Karenl de Grote	Karel den Grote	Karell de Grote	Karijl de Grote	Karel dij Grote	Karail de Grote	Quarel de Grote	Ccarel de Grote	Carel de Grote
Karel de Stoute	Karenl de Stoute	Karel den Stoute	Karel de Stouten	Karell de Stoute	Karijl de Stoute	Karel dij Stoute	Karail de Stoute
Karische Poort	
Karl Marx	Karl Marks
Karnische Alpen	
Kaspische Laagte	Kaspische Laagtij	Kaspische Laagten
Kaspische Zee	Kaspische Zeen
Kazachse Bocht	
Kazachse Rug	Kazachse Rijg
Kazakse Bocht	
Kazakse Rug	Kazakse Rijg
Keltische Zee	Keltische Zeen
Kieler Bocht	
Kleine Antillen	Kleinen Antillen
Kleine Atlas	Kleinen Atlas
Kleine Balkan	Kleinen Balkan
Kleine Belt	Kleinen Belt	Kleine Beld
Kleine Fatra	Kleinen Fatra
Kleine Kapela	Kleinen Kapela
Kleine Karpaten	Kleinen Karpaten
Kleine Sint-Bernhardpas	Kleinen Sint-Bernhardpas
Kleine Soenda-eilanden	Kleinen Soenda-eilanden
Knut Folkerts	Knoet Folkerts
Koerse Haf	Koersen Haf
Koerse Schoorwal	Koersen Schoorwal
Kollumerland en Nieuwkruisland	Kollumerland e Nieuwkruisland	Kollumenrland en Nieuwkruisland	Kollumërsland en Nieuwkruisland	Kolloemerland en Nieuwkruisland	Kolllumerland en Nieuwkruisland	Kollumerlland en Nieuwkruisland	Kollumerlandd en Nieuwkruisland	Kollumijrland en Nieuwkruisland	Kollijmerland en Nieuwkruisland	Kollumairland en Nieuwkruisland	Keaullumerland en Nieuwkruisland
Koningin Charlotte-eilanden	
Koningin Elizabetheilanden	
Koninklijk Huis	Koninklijk Heus	Koninklijk Huis	Koninklijk Hoeis
Kota Radja	Quota Radja
Krimpen aan den IJssel	Krimpe aan den IJssel	Krimpen aan de IJssel	Krimpen a-an den IJssel	Krimpenn aan den IJssel	Krimpijn aan den IJssel	Krimpen aan dijn IJssel	Krimpain aan den IJssel	Krimpen aan deden IJssel	Qurimpen aan den IJssel
Kuala Lumpur	
Kustgebergte van Andalusië	Kusthgebergte van Andalusië	Kustgebergthe van Andalusië	Kustgebergtte van Andalusië	Kusstgebergte van Andalusië	Kustgenbergte van Andalusië	Kustgebenrgte van Andalusië	Kustgebergten van Andalusië	Kustgebërsgte van Andalusië	Koestgebergte van Andalusië	Kustgijbergte van Andalusië	Kustgebijrgte van Andalusië	Kustgebergtij van Andalusië	Kustchebergte van Andalusië	Kustgeberchte van Andalusië
La Paz	La Pass
Laagland van Turan	La-agland van Turan	Laaglland van Turan	Laaglandd van Turan	Laachland van Turan	Laaggeland van Turan	Llaagland van Turan
Laconische Golf	
Lage Tatra	Lagen Tatra	Laag Tatra
Lage Zwaluwe	Lage Zwaluwen	Lagen Zwaluwe	Laag Zwaluwe
Land van Herve	Landd van Herve	Lland van Herve
Land van Waas	Landd Van waas	Lland Van waas
Landengte van Kra	Landegte van Kra	Landengthe van Kra	Landengtte van Kra	Landenngte van Kra	Landengten van Kra	Landdengte van Kra	Landijngte van Kra	Landengtij van Kra	Landenchte van Kra	Landengde van Kra	Landaingte van Kra	Landengtai van Kra	Landenggete van Kra	Landedengte van Kra
Landengte van Panama	Landenggete Van panama	Landengtai Van panama	Landaingte Van panama	Landengde Van panama	Landenchte Van panama	Landengtij Van panama	Landijngte Van panama	Landdengte Van panama	Llandengte Van panama	Landengten Van panama	Landenngte Van panama	Landengtte Van panama	Landengthe Van panama	Landegte Van panama
Laurens Janszoon Coster	Laures Janszoon Coster	La-urens Janszoon Coster	Laurenss Janszoon Coster	Laurenns Janszoon Coster	Laoerens Janszoon Coster	Laurijns Janszoon Coster	Laijrens Janszoon Coster	Laurensch Janszoon Coster	Laurains Janszoon Coster	Llaurens Janszoon Coster
Lee Harvey Oswald	Le-e Harvey Oswald	Lene Harvey Oswald	Leen Harvey Oswald	Lije Harvey Oswald	Leij Harvey Oswald	Lé Harvey Oswald	Lë Harvey Oswald	Laie Harvey Oswald	Leai Harvey Oswald	Llee Harvey Oswald
Leidsche Rijn	Leidsche Rein	Leidsche Rijn
Lejzer Zamenhof	
Leo Belgicus	
Leonardo da Vinci	Leontardo da Vinci	Lenonardo da Vinci	Leonarddo da Vinci	Lijonardo da Vinci	Laionardo da Vinci	Leeaunardo da Vinci	Leonardeau da Vinci	Lleonardo da Vinci
Lewis Carroll	
Libisch Plateau	
Libische Woestijn	Libische Woestijn
Ligurische Alpen	
Ligurische Apennijnen	Ligurische Apennijnen
Ligurische Zee	Ligurische Zeen
Linus Torvalds	
Liparische Eilanden	
Lister Diep	Lister Dip
Lodewijk Napoleon	Lodewijk Napoleon
Lodewijk XIV	Lodewijk XIV
Loe de Jong	Lout De jong	Loe Dij jong	Loij De jong	Loe Den jong	Loen De jong	Lo-e De jong	Leaue De jong	Loai De jong	Lloe De jong
Loon op Zand	Loeaun Op zand	Leauon Op zand	Leaun Op zand	Lo-on Op zand	Loon Op zant	Loont Op zand	Lloon Op zand	Loon op Zant
Louis Couperus	
Louis Pasteur	
Louis Paul Boon	
Luchtmobiele Brigade	Luchtmobiele Brigaden
Ludwig van Beethoven	Loedwig van Beethoven	Luddwig van Beethoven	Ludwich van Beethoven	Lijdwig van Beethoven	Ludwigge van Beethoven	Lludwig van Beethoven
Lübecker Bocht	
Maarten Luther	Maarte Luther	Maar ten Luther	Maarden Luther
Mahatma Gandhi	
Mao Zedong	
Marco Polo	Marko Polo
Marcus Cicero	Markus Cicero
Margaretha van Parma	Margarethha van Parma	Margarentha van Parma	Margarijtha van Parma	Marcharetha van Parma	Margaredha van Parma	Margaraitha van Parma	Marggearetha van Parma
Maria Magdalena	
Marilyn Monroe	
Mark Twain	Mark Twen	Marc Twain
Marten Toonder	Martijn Toonder	Marte Toonder	Marden Toonder
Martin Luther King Jr.	
Max Havelaar	Maks Havelaar
Mazurisch Merenplateau	
Meer van Genève	Me-er van Genève	Mener van Genève	Meenr van Genève	Meërs van Genève	Mijer van Genève	Meijr van Genève	Mér van Genève	Mër van Genève	Maier van Genève	Meair van Genève
Meer van Lugano	Me-er van Lugano	Mener van Lugano	Meenr van Lugano	Meërs van Lugano	Mijer van Lugano	Meijr van Lugano	Mér van Lugano	Mër van Lugano	Maier van Lugano	Meair van Lugano
Meer van Maracaibo	Me-er van Maracaibo	Mener van Maracaibo	Meenr van Maracaibo	Meërs van Maracaibo	Mijer van Maracaibo	Meijr van Maracaibo	Mér van Maracaibo	Mër van Maracaibo	Maier van Maracaibo	Meair van Maracaibo
Meer van Ohrid	Me-er van Ohrid	Mener van Ohrid	Meenr van Ohrid	Meërs van Ohrid	Mijer van Ohrid	Meijr van Ohrid	Mér van Ohrid	Mër van Ohrid	Maier van Ohrid	Meair van Ohrid
Meer van Shkodër	Me-er van Shkodër	Mener van Shkodër	Meenr van Shkodër	Meërs van Shkodër	Mijer van Shkodër	Meijr van Shkodër	Mér van Shkodër	Mër van Shkodër	Maier van Shkodër	Meair van Shkodër
Meer van Tiberias	Me-er van Tiberias	Mener van Tiberias	Meenr van Tiberias	Meërs van Tiberias	Mijer van Tiberias	Meijr van Tiberias	Mér van Tiberias	Mër van Tiberias	Maier van Tiberias	Meair van Tiberias
Mein Kampf	Mien Kampf	Mijn Kampf
Michael Jackson	
Michiel Adriaenszoon de Ruyter	Michiel Adriaeszoon de Ruyter	Michiel Adriaenszoont de Ruyter	Michiel Adria-enszoon de Ruyter	Michi-el Adriaenszoon de Ruyter	Michiel Adriaenszo-on de Ruyter	Michiel Adriaensszoon de Ruyter	Michienl Adriaenszoon de Ruyter	Michiel Adriaennszoon de Ruyter	Michiel Adriaenszoon den Ruyter	Michiell Adriaenszoon de Ruyter	Michiel Addriaenszoon de Ruyter	Mikhiel Adriaenszoon de Ruyter	Misshiel Adriaenszoon de Ruyter	Michiijl Adriaenszoon de Ruyter	Michiel Adriaijnszoon de Ruyter
Michiel de Ruyter	Michi-el de Ruyter	Michienl de Ruyter	Michiel den Ruyter	Michiell de Ruyter	Mikhiel de Ruyter	Misshiel de Ruyter	Michiijl de Ruyter	Michiel dij Ruyter	Michiel de Ruijter	Migiel de Ruyter	Michyl de Ruyter	Michy'l de Ruyter	Michiail de Ruyter	Michil de Ruyter
Midden-Atlantische Rug	Midden-Atlantische
Midden-Siberisch Bergland	
Mikhail Gorbatsjov	Michail Gorbatsjov
Mill en Sint Hubert	Mill e Sint Hubert	Mill enn Sint Hubert	Milll en Sint Hubert	Mill ijn Sint Hubert	Mill ain Sint Hubert
Moeder Theresa	
Mohammed Ali	
Molukse Zee	Molukse Zeen
Mona Lisa	
Mongoolse Altaj	
Mont Blanc	Mont Blank	Mond Blanc
Mont Ventoux	Mond Ventoux
Mook en Middelaar	Mooqu En middelaar	Moeauc En middelaar	Meauk En middelaar	Mo-ok En middelaar	Mook E middelaar	Mooké En middelaar	Mooc En middelaar	Moeauk En middelaar	Meauok En middelaar	Moocc En middelaar
Moravische Poort	
Moslim-Kroatische Federatie	Moslim-Kroatische Federatie	Moslim--Kroatische Federatie	Moslims-Kroatische Federatie	Moslima-Kroatische Federatie
Mount Everest	
Máxima Zorreguieta	
Nabije Oosten	Nabije Oosten
Napoleon Bonaparte	
Nationaal Volkscongres	
Nauw van Kales	Na-uw van Kales	Naoew van Kales	Nauw van Kalles	Naijw van Kales
Nederlandse Hartstichting	
Nederlandse Taalunie	Nederlandse Daalunie
Neil Armstrong	Nijl Armstrong	Niel Armstrong
Nelson Mandela	
Neusiedler Meer	Neusiedler Maier
New Delhi	
New Delhisch	
New Delhiër	
New York Times	Nenw York Times	Nijw York Times	Naiw York Times
Nicolaas Beets	Nikolaas Beets
Nienke van Hichtum	Nieke van Hichtum	Ni-enke van Hichtum	Niennke van Hichtum	Nienken van Hichtum	Nientje van Hichtum	Niijnke van Hichtum	Nienkij van Hichtum	Nynke van Hichtum	Ny'nke van Hichtum	Nienque van Hichtum	Niencce van Hichtum	Niainke van Hichtum	Nienkai van Hichtum	Nience van Hichtum	Ninke van Hichtum
Nieuw-Siberische Eilanden	
Nieuw-Zeelandse Alpen	
Nieuwe Pekela	Nieuwen Pekela
Nieuwerkerk aan den IJssel	Nieuwerkerk aan de IJssel	Nieuwerkerk a-an den IJssel	Nie-uwerkerk aan den IJssel	Ni-euwerkerk aan den IJssel	Nienuwerkerk aan den IJssel	Nieuwenrkerk aan den IJssel	Nieuwerkenrk aan den IJssel	Nieuwërskerk aan den IJssel	Nieuwerkërsk aan den IJssel	Nieoewerkerk aan den IJssel	Nieuwertjerk aan den IJssel	Niijuwerkerk aan den IJssel	Nieuwijrkerk aan den IJssel	Nieuwerkijrk aan den IJssel	Nieuwerkerk aan dijn IJssel
Noord-Amerikaans Bekken	Noord-Amerikaans Bekke
Noord-Chinees Bergland	
Noord-Duitse Laagvlakte	Noord-Duitse Laagvlakten
Noord-Equatoriale Rug	Noord-Equatoriale
Noord-Friese Waddeneilanden	Noord-Friesen Waddeneilanden
Noord-Russische Rug	Noord-Russische
Noord-Tiroler Alpen	
Noordelijk Territorium	Noordelijk Territorium
Noordelijke IJszee	Noordelijke IJszee	Noordelijken IJszee
Noordelijke Marianen	Noordelijken Marianen	Noordelijke Marianen
Noordoostelijke Doorvaart	Noordoostelijke Doorvaart
Noordwestelijke Doorvaart	Noordwestelijke Doorvaart
Noorse Bekken	Noorse Bekke
Noorse Zee	Noorse Zeen
Novum Instrumentum	
Nubische Woestijn	Nubische Woestijn
Oliver Cromwell	
Onderwijsbond CNV	
Oost-Afrikaans Hoogland	
Oost-Chinese Zee	Oost-Chinese Zeen
Oost-Friese Waddeneilanden	Oost-Friesen Waddeneilanden
Oost-Indisch doof	
Oost-Pacifische Rug	Oost-Pacifische Rijg
Oost-Siberische Zee	Oost-Siberische
Oostelijke Cordillera	Oostelijke Cordillera
Oostelijke Grote Erg	Oostelijkij Grote erg	Oostijlijke Grote erg	Oostelijke Grote erg	Oostelijtje Grote erg	Oostellijke Grote erg	Oostelijke Groten erg	Oostenlijke Grote erg	Oostelijken Grote erg	Oosstelijke Grote erg	Oosttelijke Grote erg	O-ostelijke Grote erg	Oosteli-jke Grote erg	Oosthelijke Grote erg
Oostelijke Sierra Madre	Oosthelijke Sierra Madre	Oosteli-jke Sierra Madre	Oosttelijke Sierra Madre	Oosstelijke Sierra Madre	Oostenlijke Sierra Madre	Oostelijken Sierra Madre	Oostellijke Sierra Madre	Oostelijtje Sierra Madre	Oostelijke Sierra Madre	Oostijlijke Sierra Madre	Oostelijkij Sierra Madre	Oosdelijke Sierra Madre	Ooschtelijke Sierra Madre	Oosteleike Sierra Madre
Oostenrijkse Alpen	Oostenrijkse Alpen
Oostenrijkse Hoogvlakte	Oostenrijkse Hoogvlakte	Oostenrijkse Hoogvlakten
Oranje Vrijstaat	Oranje Vrijstaat	Oranje-Vrijstaat
Osama Bin Laden	
Oscar Wilde	Oskar Wilde	Oscar Wilden
Ossip Zadkine	
Oude IJssel	Ouden IJssel
Oude IJsselstreek	Ouden IJsselstreek
Oude Pekela	Ouden Pekela
Pablo Picasso	
Pacifisch-Antarctisch Bekken	Pacifisch-Antarctisch Bekke
Paul Gauguin	
Paul Verhoeven	Paul Verhoeve
Paul van Ostaijen	Pa-ul van Ostaijen	Paoel van Ostaijen	Paull van Ostaijen	Paul van Ostaijen	Paijl van Ostaijen
Pelagische Eilanden	
Penninisch Gebergte	Penninisch Gebergten
Perzische Golf	
Piet Mondriaan	Pit Mondriaan
Pieter Jelles Troelstra	Piether Jelles Troelstra	Pi-eter Jelles Troelstra	Pietter Jelles Troelstra	Pienter Jelles Troelstra	Pietenr Jelles Troelstra	Pietërs Jelles Troelstra	Piijter Jelles Troelstra	Pietijr Jelles Troelstra	Pieder Jelles Troelstra	Pyter Jelles Troelstra	Py'ter Jelles Troelstra	Piaiter Jelles Troelstra	Pietair Jelles Troelstra	Piter Jelles Troelstra
Pieter Pauwel Rubens	Piether Pauwel Rubens	Pi-eter Pauwel Rubens	Pietter Pauwel Rubens	Pienter Pauwel Rubens	Pietenr Pauwel Rubens	Pietërs Pauwel Rubens	Piijter Pauwel Rubens	Pietijr Pauwel Rubens	Pieder Pauwel Rubens	Pyter Pauwel Rubens	Py'ter Pauwel Rubens	Piaiter Pauwel Rubens	Pietair Pauwel Rubens	Piter Pauwel Rubens
Pim Fortuyn	Pim Fortuijn
Pink Floyd	
Plakkaat van Verlatinghe	Plakkaath van Verlatinghe	Plakka-at van Verlatinghe	Pllakkaat van Verlatinghe	Plakkaad van Verlatinghe	Plaqukaat van Verlatinghe	Plakquaat van Verlatinghe	Placcaat van Verlatinghe	Placckaat van Verlatinghe	Plakccaat van Verlatinghe	Plackaat van Verlatinghe	Plakcaat van Verlatinghe
Plateau van Lotharingen	Platheau van Lotharingen	Platea-u van Lotharingen	Platteau van Lotharingen	Platenau van Lotharingen	Plateaoe van Lotharingen	Pllateau van Lotharingen	Platijau van Lotharingen	Pladeau van Lotharingen	Plateaij van Lotharingen	Plataiau van Lotharingen
Pommers Merenplateau	
Pommerse Bocht	
Pontisch Gebergte	Pontisch Gebergten
Pontius Pilatus	
Pools Laagland	
Poort van Trajanus	Poorth van Trajanus	Poirt van Trajanus	Po-ort van Trajanus	Poord van Trajanus	Peaurt van Trajanus	Peauort van Trajanus	Poeaurt van Trajanus
Port Louis	
Port Moresby	
Port Said	
Port Sudan	Port Soedan
Port Vila	Port Villa
Port of Spain	Porth of Spain	Pord of Spain	Peaurt of Spain
Prins Alexander	Prins Aleksander
Prins Edwardeiland	
Ray Bradbury	
Rede van Brest	Rende van Brest	Reden van Brest	Redde van Brest	Rijde van Brest	Redij van Brest	Rte van Brest	Raide van Brest	Redai van Brest	Redede van Brest
Rembrandt van Rijn	Rembrandth van Rijn	Renmbrandt van Rijn	Rembranddt van Rijn	Rembrandt van Rijn	Rijmbrandt van Rijn	Rembrandd van Rijn	Rembrandt van Rein	Raimbrandt van Rijn
René Descartes	Renee Descartes
Republiek Sacha	Republiek Saga
Richard Leeuwenhart	
Richard M. Stallman	Richardd M. Stallman	Rikhard M. Stallman	Risshard M. Stallman	Rigard M. Stallman
Rio Grande	
Rio de Janeiro	Rio den Janeiro	Rio dij Janeiro	Rieau de Janeiro
Road Town	Road Down
Robert Jan	Robert-Jan
Rode Bekken	Roden Bekken	Rode Bekke
Rode Kruisauto	Roden Kruisauto
Rode Rivier	Roden Rivier
Rode Torenpas	Rode Torenpass	Roden Torenpas
Rode Zee	Rode Zeen	Roden Zee
Roggel en Neer	Roggijl En neer	Roggell En neer	Roggenl En neer	Roggel E neer	Reauggel En neer	Rogggeel En neer	Roggegel En neer	Roggail En neer	Rochel En neer	Rogchel En neer	Rochgel En neer
Romeo en Julia	Romeo e Julia	Romeno en Julia	Romijo en Julia	Romaio en Julia	Reaumeo en Julia	Romeeau en Julia
Rudolf Steiner	
Russisch Laagland	
Ruud Lubbers	
Saint George's	
Saint John's	
Saint Kitts en Nevis	Saint Kitts e Nevis	Sainth Kitts en Nevis	Saint Kithts en Nevis	Saint Kitths en Nevis	Sent Kitts en Nevis	Sa-int Kitts en Nevis	Saint Kittss en Nevis	Saind Kitts en Nevis	Saint Kidts en Nevis	Saint Kitds en Nevis	Saint Kittsch en Nevis
Saint Lawrencebaai	
Saint Lucia	
Saint Luciaan	
Saint Luciaans	
Saint Vincent en de Grenadines	Saint Vincet en de Grenadines	Saint Vincent e de Grenadines	Sainth Vincent en de Grenadines	Saint Vincenth en de Grenadines	Sent Vincent en de Grenadines	Sa-int Vincent en de Grenadines	Saint Vincennt en de Grenadines	Saint Vincent enn de Grenadines	Saint Vincent en den Grenadines	Saint Vinkent en de Grenadines	Saint Vinssent en de Grenadines	Saint Vincijnt en de Grenadines	Saint Vincent ijn de Grenadines	Saint Vincent en dij Grenadines	Saind Vincent en de Grenadines
Saint-Pierre en Miquelon	Saint-Pierre e Miquelon	Sainth-Pierre en Miquelon	Sent-Pierre en Miquelon	Sa-int-Pierre en Miquelon	Saint-Pi-erre en Miquelon	Saint-Pienrre en Miquelon	Saint-Pierren en Miquelon	Saint-Piërsre en Miquelon	Saint-Piijrre en Miquelon	Saint-Pierrij en Miquelon	Saind-Pierre en Miquelon	Saint-Pyrre en Miquelon	Saint-Py'rre en Miquelon	Saint-Piairre en Miquelon	Saint-Pierrai en Miquelon
Salman Rushdie	
Salvador Allende	
San José	
San Juan	
San Salvador	Salvadoraan
San Sebastian	
Sankt Vith	
Santiago de Compostela	Santhiago de Compostela	Santiago den Compostela	Santiago de Compostella	Santiago dij Compostela	Santiacho de Compostela	Sandiago de Compostela	Santiaggeo de Compostela	Santiageau de Compostela	Ssantiago de Compostela
Santiago de Compostella	Santhiago de Compostella	Santiago den Compostella	Santiago dij Compostella	Santiacho de Compostella	Sandiago de Compostella	Santiaggeo de Compostella	Santiageau de Compostella	Ssantiago de Compostella	Schantiago de Compostella
Santo Domingo	
Sao Tomé	
Sao Tomé en Principe	Sao Teaumé en principe	Saeau Tomé en principe	Sao Domé en principe	Sao Tomee en principe	Sao Thomé en principe	Sao Tomé e principe	Schao Tomé en principe	Ssao Tomé en principe
Savoyse Alpen	
Saïdjah en Adinda	Saïdjah e Adinda	Saïddjah en Adinda	Saïdijah en Adinda	Sa-idjah en Adinda	Saiidjah en Adinda	Ssaïdjah en Adinda	Schaïdjah en Adinda
Scandinavisch Hoogland	
Schotse Laagvlakte	Schotse Laagvlakten	Schotsen Laagvlakte
Servische Republiek	
Sierra Leone	
Sierra Leoner	
Sierra Leoons	
Sierra Leoonse	
Sigmund Freud	
Simon Petrus	
Simon Stevin	
Simon Vestdijk	Simon Vestdijk
Sint Anthonis	
Slot Loevestein	
Slovaaks Ertsgebergte	Slovaaks Ertsgebergten
Slowaaks Ertsgebergte	Slowaaks Ertsgebergten
Snelle Cris	Snelle Kris	Snellen Cris
Snelle Körös	Snellen Körös
Somalisch Hoogland	
Somalisch Schiereiland	
Son en Breugel	Son e Breugel	Sont en Breugel	Seaun en Breugel	Sson en Breugel	Schon en Breugel
Spaanse Hoogvlakte	Spaanse Hoogvlakten	Spaansen Hoogvlakte
Stede Broec	Stede Broek	Steden Broec
Stille Oceaan	Stillen Oceaan
Stille Zuidzee	Stillen Zuidzee
Straat Bass	
Straat Cook	Straat Kook
Straat Davis	
Straat De Long	Sdraat De long	Straat Dij long	Straat Den long	Stra-at De long	Straath De long	Sthraat De long	Schtraat De long	Straad De long	Sstraat De long
Straat Denemarken	
Straat Drake	Straat Draken
Straat Florida	
Straat Formosa	
Straat Hinlopen	
Straat Hudson	
Straat Joegor	
Straat Karimata	
Straat Koerilen	
Straat Koningin Charlotte	Sthraat Koningin Charlotte	Straath Koningin Charlotte	Stra-at Koningin Charlotte	Sdraat Koningin Charlotte	Straad Koningin Charlotte	Sstraat Koningin Charlotte	Schtraat Koningin Charlotte
Straat Korea	
Straat La Pérouse	Sthraat La Pérouse	Straath La Pérouse	Stra-at La Pérouse	Sdraat La Pérouse	Straad La Pérouse	Sstraat La Pérouse	Schtraat La Pérouse
Straat Madoera	
Straat Magallanes	
Straat Magellaan	
Straat Makassar	
Straat Malakka	
Straat Mozambique	
Straat Nares	
Straat Palk	Straatspalk
Straat Singapore	
Straat Soemba	
Straat Soenda	
Straat Torres	
Straat Tsugaru	
Straat Yucatan	
Straat van Bonifacio	Sthraat van Bonifacio	Straath van Bonifacio	Stra-at van Bonifacio	Sdraat van Bonifacio	Straad van Bonifacio	Sstraat van Bonifacio	Schtraat van Bonifacio
Straat van Corsica	Sthraat van Corsica	Straath van Corsica	Stra-at van Corsica	Sdraat van Corsica	Straad van Corsica	Sstraat van Corsica	Schtraat van Corsica
Straat van Gibraltar	Sthraat van Gibraltar	Straath van Gibraltar	Stra-at van Gibraltar	Sdraat van Gibraltar	Straad van Gibraltar	Sstraat van Gibraltar	Schtraat van Gibraltar
Straat van Hormuz	Sthraat van Hormuz	Straath van Hormuz	Stra-at van Hormuz	Sdraat van Hormuz	Straad van Hormuz	Sstraat van Hormuz	Schtraat van Hormuz
Straat van Messina	Sthraat van Messina	Straath van Messina	Stra-at van Messina	Sdraat van Messina	Straad van Messina	Sstraat van Messina	Schtraat van Messina
Straat van Taiwan	Sthraat van Taiwan	Straath van Taiwan	Stra-at van Taiwan	Sdraat van Taiwan	Straad van Taiwan	Sstraat van Taiwan	Schtraat van Taiwan
Syrische Woestijn	Syrische Woestijn
Te Deum	Tai Deum	Te  Deum	Ten Deum	Tij Deum	De Deum
Ten Boer	Tijn Boer	Te Boer	Den Boer	Te N boer
Ter Aar	Der Aar	Ter  aar	Te R aar	Termaar	Terhaar
The Beatles	Then Beatles	Thij Beatles	Thai Beatles
The Rolling Stones	Then Rolling Stones	Thij Rolling Stones	Thai Rolling Stones	Thhe Rolling Stones	Dhe Rolling Stones
The Valley	Then Valley	Thij Valley	Thai Valley
Theo van Gogh	Theno van Gogh	Thijo van Gogh	Thaio van Gogh	Theeau van Gogh	Thheo van Gogh	Dheo van Gogh
Theodore Roosevelt	
Thomas Alva Edison	Thomass Alva Edison	Thomasch Alva Edison	Theaumas Alva Edison	Thhomas Alva Edison	Dhomas Alva Edison
Thomas Jefferson	
Tibetaans Hoogland	
Tony Blair	
Toscaanse Archipel	
Transsylvanische Alpen	
Trasimeense Meer	Trasimeense Maier
Trinidad en Tobago	Trinidad e Tobago	Triniddad en Tobago	Trinidadd en Tobago	Thrinidad en Tobago	Drinidad en Tobago
Tsjang K'ai-Sjek	
